name;label;description
t_flow_cool_start;T-mandata inizio Rafredd.;(T-Flow Cooling start) Con questo parametro viene stabilito quale temperatura di mandata viene ottenuta all'inizio del raffrescamento (temperatura esterna = parametro [T-esterna inizio Raffredd.]) (condizione di impostazione: Parametro [raffrescare] = ON). (non tradotto) Setting the cooling inflow target temperature at the start of cooling mode
t_flow_cool_max;T-mandata Rafredd. max;(T-Flow Cooling max) Con questo parametro viene stabilito quale temperatura di mandata viene ottenuta con massimo raffrescamento (temperatura esterna = parametro [T-mandata Rafredd. max]) (condizione di impostazione: modalità di raffrescamento). (non tradotto) Setting the minimum cooling inflow target temperature. This is kept constant relative to the outside temperature
min_t_flow_cool;Min T-Flow Cooling;(traduzione non disponibile) Setting the absolute lower limit of the cooling inflow target temperature. The limitation is effective if a lower cooling inflow target temperature is determined based on other parameter settings
t_flow_cool;T-Flow Cooling;(traduzione non disponibile) Setting the cooling inflow target temperature (fixed value) when cooling mode is active
cool_setpoint_adj;Cooling Setpoint adj;Parallel displacement of the cooling characteristic curve to match the set value
circ_pump_dhw;Pompa circ ACS;Con questo parametro si può impostare la funzione per il controllo di una pompa di circolazione in modo che essa venga sbloccata in sincronia al programma acqua calda. 0: Off 1: On
circ_pump_interval;Intervallo pompa circ.;(traduzione non disponibile) Setting the interval control for an optional circulation pump
anti_leg_day;Anti-Legionella giorno;Con questo parametro si può impostare la disinfezione termica del bollitore dell'acqua calda. 0 = Spento 1 = Lunedì ... 7 = Domenica
anti_leg_time;Anti-Legionella tempo;Con questo parametro si può parametrare il tempo di avvio della disinfezione termica del serbatoio di acqua potabile.
anti_leg_temp;Anti-Legionella temp;Con questo parametro si può parametrare la temperatura nominale della disinfezione termica del serbatoio di acqua potabile.
max_dhw_loading;Max DHW loading;(traduzione non disponibile) Setting limits the time period for hot water generation to the set target value
dhw_off_time;DHW Off Time;(traduzione non disponibile) Setting the block time following completion or interruption of a hot water generation cycle. New demand of hot water generation is satisfied only after expiry of this block time
one_hot_water;1x acqua calda;Quando il valore desiderato [T-DHW Setpoint 1] viene raggiunto, questo parametro DEVE essere disattivato, diversamente, il serbatoio viene sempre mantenuto ad una temperatura di 37°C. Suggerimento: Disattivare sempre questo parametro (Impostazione 0)!
timer_boh;Timer BOH;(traduzione non disponibile) Delay time after which the reserve heating may support the heat pump in hot water charging
t_reduced;T-Riduzione;Viene impostato il valore nominale della temperatura ambientale di riduzione in °C con un valore decimale che vale per il programma a orario Automatico 1 e Automatico 2.
t_absence;T-Asssenza;Viene impostato il valore nominale della temperatura ambientale di riduzione in °C con un valore decimale che vale per il programma a orario Assente e Vacanze
t_room;T-Room;(traduzione non disponibile) Room temperature measured by an optional Rocon U1 room station
